time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance
1.08,3,594.28,837.36,519.99,718.84,593.00,837.00,525.00,713.00,593.49,837.14,523.09,715.23,7.81
1.08,2,917.57,1144.78,406.86,579.97,918.00,1146.00,411.00,579.00,917.84,1145.53,409.42,579.37,4.44
1.08,5,483.88,655.45,338.91,440.97,503.00,707.00,359.00,497.00,494.55,684.23,350.13,472.25,81.03
1.08,4,671.15,837.12,219.64,357.93,668.00,840.00,221.00,358.00,669.20,838.90,220.48,357.97,4.48
1.08,6,378.42,507.47,231.40,325.64,376.00,510.00,230.00,329.00,376.93,509.03,230.53,327.71,5.05
1.08,5,494.55,684.23,350.13,472.25,484.00,678.00,332.00,417.00,490.77,682.00,343.63,452.46,33.63
1.12,3,596.06,841.17,528.25,722.06,599.00,841.00,526.00,716.00,597.88,841.06,526.86,718.31,7.10
1.12,2,921.75,1151.14,413.38,584.31,919.00,1150.00,415.00,584.00,920.05,1150.43,414.38,584.12,3.40
1.12,5,493.41,685.39,346.47,455.21,503.00,711.00,362.00,501.00,498.93,700.14,355.41,481.58,55.55
1.12,4,671.81,842.31,221.06,359.85,681.00,854.00,225.00,364.00,677.49,849.53,223.49,362.42,15.93
1.12,6,379.28,511.75,231.74,329.52,375.00,515.00,225.00,335.00,376.64,513.76,227.58,332.90,10.22
1.12,5,498.93,700.14,355.41,481.58,435.00,608.00,311.00,425.00,475.57,666.47,339.18,460.90,107.57
1.16,3,600.58,845.19,532.11,725.16,605.00,844.00,533.00,717.00,603.31,844.46,532.66,720.12,9.40
1.16,2,923.98,1156.15,418.49,589.18,932.00,1152.00,414.00,589.00,928.94,1153.59,415.71,589.07,10.08
1.16,5,477.55,669.19,341.81,463.97,503.00,714.00,362.00,507.00,492.24,695.06,353.46,488.81,70.11
1.16,4,680.39,853.31,224.18,364.45,684.00,858.00,228.00,368.00,682.62,856.21,226.54,366.64,7.89
1.16,5,492.24,695.06,353.46,488.81,480.00,684.00,313.00,422.00,487.76,691.01,338.66,464.36,53.07
1.16,6,378.94,516.63,228.64,334.90,381.00,515.00,231.00,329.00,380.21,515.62,230.10,331.25,6.88
1.20,3,606.19,848.65,538.06,726.92,608.00,837.00,543.00,723.00,607.31,841.45,541.11,724.50,13.37
1.20,2,933.16,1159.33,419.82,594.25,938.00,1168.00,426.00,601.00,936.15,1164.69,423.64,598.42,13.51
1.20,4,685.67,860.19,227.35,368.81,691.00,861.00,228.00,372.00,688.96,860.69,227.75,370.78,6.30
1.20,5,490.19,694.66,341.23,467.53,504.00,718.00,365.00,517.00,498.16,708.13,354.95,496.09,61.22
1.20,5,498.16,708.13,354.95,496.09,441.00,625.00,315.00,429.00,477.24,677.71,340.33,471.53,97.18
1.20,5,477.24,677.71,340.33,471.53,478.00,703.00,355.00,446.00,477.44,684.48,344.26,464.69,29.52
1.24,3,610.31,845.46,546.77,731.36,611.00,840.00,552.00,722.00,610.73,842.09,550.00,725.57,12.05
1.24,2,940.58,1170.79,427.99,603.89,941.00,1169.00,428.00,605.00,940.84,1169.68,428.00,604.58,2.14
1.24,4,692.22,864.79,228.59,373.08,696.00,865.00,238.00,376.00,694.56,864.92,234.41,374.88,10.55
1.24,5,479.41,687.81,347.02,467.84,514.00,721.00,372.00,521.00,498.75,706.37,360.99,497.56,75.81
1.24,5,498.75,706.37,360.99,497.56,493.00,704.00,354.00,451.00,496.69,705.52,358.48,480.87,27.91
1.24,5,496.69,705.52,358.48,480.87,456.00,614.00,343.00,437.00,485.95,681.36,354.39,469.29,83.45
1.28,3,613.82,846.05,555.93,732.35,614.00,847.00,565.00,720.00,613.93,846.64,561.53,724.72,15.36
1.28,2,945.38,1175.88,432.46,610.20,946.00,1176.00,431.00,615.00,945.76,1175.95,431.56,613.17,5.05
1.28,5,488.21,684.51,357.52,472.59,519.00,722.00,375.00,526.00,505.40,705.44,367.28,502.41,74.24
1.28,4,697.98,869.11,235.51,377.31,700.00,864.00,235.00,382.00,699.23,865.95,235.19,380.21,7.25
1.28,5,505.40,705.44,367.28,502.41,497.00,702.00,358.00,449.00,502.39,704.21,363.95,483.27,30.66
1.28,5,502.39,704.21,363.95,483.27,450.00,604.00,323.00,422.00,488.57,677.78,353.15,467.11,108.13
1.28,6,387.63,524.54,233.63,337.18,391.00,518.00,228.00,328.00,380.07,505.61,223.07,321.11,13.04
1.32,2,950.42,1182.29,436.09,619.05,961.00,1178.00,439.00,623.00,956.96,1179.64,437.89,621.49,12.42
1.32,3,617.10,850.70,567.83,731.33,621.00,857.00,573.00,719.00,619.51,854.60,571.02,723.71,15.29
1.32,5,490.89,680.71,356.18,470.28,526.00,725.00,388.00,528.00,510.49,705.44,373.95,502.50,86.82
1.32,4,702.78,870.12,236.32,382.81,709.00,867.00,234.00,382.00,706.62,868.19,234.88,382.31,7.38
1.32,5,510.49,705.44,373.95,502.50,503.00,702.00,363.00,449.00,507.81,704.21,370.02,483.34,33.16
1.32,5,507.81,704.21,370.02,483.34,458.00,604.00,351.00,444.00,494.67,677.78,365.01,472.96,87.66
1.32,6,382.35,507.97,223.88,322.56,385.00,530.00,237.00,341.00,397.19,539.54,239.98,345.46,31.70
1.36,3,622.85,858.90,577.60,730.15,635.00,866.00,577.00,720.00,630.36,863.29,577.23,723.88,17.36
1.36,5,497.18,680.65,368.47,476.32,528.00,727.00,389.00,536.00,514.38,706.52,379.93,509.64,84.15
1.36,2,961.98,1186.01,442.60,627.60,959.00,1184.00,449.00,623.00,960.14,1184.77,446.55,624.76,8.67
1.36,4,710.41,872.37,235.98,384.95,708.00,873.00,237.00,386.00,708.92,872.76,236.61,385.60,2.89
1.36,5,514.38,706.52,379.93,509.64,458.00,661.00,308.00,429.00,494.18,690.21,354.16,480.75,88.41
1.36,5,494.18,690.21,354.16,480.75,461.00,680.00,264.00,386.00,485.43,687.52,330.38,455.76,142.76
1.40,3,634.07,867.86,583.94,730.18,638.00,874.00,585.00,720.00,636.50,871.65,584.60,723.89,12.56
1.40,5,487.52,690.71,332.41,458.39,535.00,731.00,391.00,545.00,514.03,713.20,365.12,506.74,121.71
1.40,2,965.20,1191.22,451.53,630.90,970.00,1196.00,452.00,630.00,968.17,1194.17,451.82,630.34,6.85
1.40,4,712.73,877.04,237.77,388.33,708.00,877.00,238.00,389.00,709.81,877.02,237.91,388.74,4.79
1.40,5,514.03,713.20,365.12,506.74,457.00,610.00,339.00,458.00,493.60,676.23,355.76,489.28,86.54
1.40,6,403.10,546.95,242.93,350.32,394.00,577.00,238.00,347.00,385.29,553.56,232.60,338.18,31.96
1.44,5,495.96,678.90,358.75,493.20,535.00,735.00,399.00,550.00,518.44,711.21,381.93,525.91,97.56
1.44,3,640.40,876.47,591.50,730.05,631.00,891.00,595.00,719.00,634.59,885.45,593.66,723.22,20.83
1.44,2,973.45,1200.88,456.92,636.60,976.00,1210.00,456.00,640.00,975.03,1206.52,456.35,638.70,10.10
1.44,4,713.59,881.39,239.10,391.55,711.00,886.00,232.00,396.00,711.99,884.24,234.71,394.30,9.91
1.44,5,518.44,711.21,381.93,525.91,457.00,610.00,352.00,460.00,495.99,674.22,370.99,501.82,86.10
1.44,6,387.64,557.67,233.72,340.23,396.00,575.00,242.00,341.00,403.41,583.72,245.28,349.92,20.97
1.44,5,495.99,674.22,370.99,501.82,470.00,646.00,330.00,422.00,489.03,666.67,360.02,480.46,87.47
1.48,5,491.15,668.89,363.13,483.97,536.00,737.00,404.00,557.00,516.22,706.96,385.98,524.80,116.85
1.48,2,980.49,1213.59,461.55,645.17,969.00,1209.00,457.00,652.00,973.39,1210.75,458.74,649.39,14.84
1.48,3,638.36,890.73,600.81,729.20,635.00,881.00,605.00,718.00,636.28,884.72,603.40,722.28,15.78
1.48,4,715.79,888.81,235.76,397.28,712.00,897.00,236.00,384.00,713.45,893.87,235.91,389.07,16.06
